ID,Name,Theme,Rarity,TagPrimary,TagSecondary,SizeX,SizeY,Effect1Type,Effect1Mag,Effect2Type,Effect2Mag,Description
60,마법소녀의 행운,Fortune,Common,MagicalGirl,Luck,1,1,MagicalGirlSummon,1.0,LuckPoints,1.0,미소녀 +1 / 행운 +1
61,황금의 운,Fortune,Rare,Luck,Greed,1,2,LuckPoints,3.0,GoldGainPercent,0.25,행운 +3 / 골드 +25%
62,운명의 카드,Fortune,Rare,Luck,Tarot,1,2,LuckPoints,3.0,TarotProc,0.25,행운 +3 / 타로 +25%
63,점쟁이의 수정구,Fortune,Rare,Greed,Tarot,1,2,GoldGainPercent,0.25,TarotProc,0.15,골드 +25% / 타로 +15%
64,운명의 수레바퀴,Fortune,Unique,Luck,Tarot,2,2,LuckPoints,5.0,TarotProc,1.00,행운 +5 / 타로 두 배
65,별의 운명,Fortune,Legendary,Luck,Tarot,2,2,LuckPoints,7.0,TarotProc,1.00,행운 +7 / 타로 두 배 (전설)
66,예언의 검술,Cross,Rare,Cooldown,Critical,1,2,CooldownReductionPercent,0.15,CriticalChancePercent,0.15,쿨감 +15% / 치명타 +15%
67,현자의 안목,Cross,Common,Cooldown,Critical,1,1,CooldownReductionPercent,0.05,CriticalChancePercent,0.05,쿨감 +5% / 치명타 +5%
68,마법학자의 갑옷,Cross,Rare,Cooldown,Defense,1,2,CooldownReductionPercent,0.15,DefenseFlat,3.0,쿨감 +15% / 방어 +3
69,방어 룬,Cross,Common,Cooldown,Defense,1,1,CooldownReductionPercent,0.05,DefenseFlat,1.0,쿨감 +5% / 방어 +1
70,회오리 룬 II,Cross,Common,Cooldown,Wind,1,1,CooldownReductionPercent,0.05,WindAOE,0.10,쿨감 +5% / 바람 +10%
71,냉정한 명궁,Cross,Rare,Critical,Defense,1,2,CriticalChancePercent,0.15,DefenseFlat,3.0,치명타 +15% / 방어 +3
72,운명의 일격,Cross,Common,Critical,Luck,1,1,CriticalChancePercent,0.05,LuckPoints,1.0,치명타 +5% / 행운 +1
73,축복받은 살결,Cross,Common,Health,Luck,1,1,MaxHealthPercent,0.10,LuckPoints,1.0,체력 +10% / 행운 +1
74,전사의 폐활량,Cross,Common,Health,AttackSpeed,1,1,MaxHealthPercent,0.10,AttackSpeedPercent,0.05,체력 +10% / 공속 +5%
75,포근한 가호,Cross,Common,Health,MagicalGirl,1,1,MaxHealthPercent,0.10,MagicalGirlSummon,1.0,체력 +10% / 미소녀 +1
76,빛의 미소녀,MagicalGirl,Common,MagicalGirl,Health,1,1,MagicalGirlSummon,1.0,None,0,빛 공격 (시각 변형)
77,어둠의 미소녀,MagicalGirl,Common,MagicalGirl,Critical,1,1,MagicalGirlSummon,1.0,None,0,어둠 공격 (시각 변형)
